name,sharpe_ann,T,psr,sr0_ann,dsr,yr_pos,yr_min
w7,0.18,2805,0.7235,-0.02,0.7488,0.58,-1.7
raw,0.12,2763,0.6545,-0.02,0.6824,0.5,-1.18
rm,-0.09,2763,0.3774,-0.02,0.4071,0.58,-1.31
