name,sharpe_ann,T,psr,sr0_ann,dsr,yr_pos,yr_min
rev10,-2.72,2884,0.0,0.09,0.0,0.0,-5.3
rev5,-2.91,2887,0.0,0.09,0.0,0.0,-5.16
rev10_decay,-1.81,2882,0.0,0.09,0.0,0.0,-4.28
