Date,raw,rm,w7
2015-01-02,,,
2015-01-05,,,
2015-01-06,,,
2015-01-07,,,
2015-01-08,,,
2015-01-09,,,
2015-01-12,,,
2015-01-13,,,
2015-01-14,,,
2015-01-15,,,
2015-01-16,,,
2015-01-20,,,
2015-01-21,,,
2015-01-22,,,
2015-01-23,,,
2015-01-26,,,
2015-01-27,,,
2015-01-28,,,
2015-01-29,,,
2015-01-30,,,
2015-02-02,,,
2015-02-03,,,
2015-02-04,,,
2015-02-05,,,
2015-02-06,,,
2015-02-09,,,
2015-02-10,,,
2015-02-11,,,
2015-02-12,,,
2015-02-13,,,
2015-02-17,,,
2015-02-18,,,
2015-02-19,,,
2015-02-20,,,
2015-02-23,,,
2015-02-24,,,
2015-02-25,,,
2015-02-26,,,
2015-02-27,,,
2015-03-02,,,
2015-03-03,,,
2015-03-04,,,
2015-03-05,,,
2015-03-06,,,
2015-03-09,,,
2015-03-10,,,
2015-03-11,,,
2015-03-12,,,
2015-03-13,,,
2015-03-16,,,
2015-03-17,,,
2015-03-18,,,
2015-03-19,,,
2015-03-20,,,
2015-03-23,,,
2015-03-24,,,
2015-03-25,,,
2015-03-26,,,
2015-03-27,,,
2015-03-30,,,
2015-03-31,,,
2015-04-01,,,
2015-04-02,,,
2015-04-06,,,
2015-04-07,,,
2015-04-08,,,
2015-04-09,,,
2015-04-10,,,
2015-04-13,,,
2015-04-14,,,
2015-04-15,,,
2015-04-16,,,
2015-04-17,,,
2015-04-20,,,
2015-04-21,,,
2015-04-22,,,
2015-04-23,,,
2015-04-24,,,
2015-04-27,,,
2015-04-28,,,
2015-04-29,,,
2015-04-30,,,
2015-05-01,,,
2015-05-04,,,
2015-05-05,,,
2015-05-06,,,
2015-05-07,,,0.001981744273999392
2015-05-08,,,3.7423968461493825e-05
2015-05-11,,,-0.0001786872230365233
2015-05-12,,,0.002262190164298761
2015-05-13,,,-0.0007983313289876828
2015-05-14,,,0.002825121668013129
2015-05-15,,,0.00020363438099824644
2015-05-18,,,0.0021834478302269937
2015-05-19,,,0.0007909169286818389
2015-05-20,,,0.0002595137126121856
2015-05-21,,,0.0011013117843116792
2015-05-22,,,0.0019482658662017649
2015-05-26,,,-0.0002601301354644887
2015-05-27,,,0.0014421488352252152
2015-05-28,,,0.0016414877120331807
2015-05-29,,,0.0020068656350060218
2015-06-01,,,-6.99235305505619e-05
2015-06-02,,,-0.001893691251117951
2015-06-03,,,0.0004834683948330982
2015-06-04,,,-0.0008371602550718426
2015-06-05,,,0.0030654041847069623
2015-06-08,,,-0.0003927378473982273
2015-06-09,,,0.0010413474651425685
2015-06-10,,,0.0021143722563217024
2015-06-11,,,-0.0006072300369022056
2015-06-12,,,-0.0005816647939597881
2015-06-15,,,0.004196725842647708
2015-06-16,,,0.0009759979155299702
2015-06-17,,,-0.0007636316334996158
2015-06-18,,,0.0014357703690111919
2015-06-19,,,0.00046934578420911694
2015-06-22,,,0.0011604190814157637
2015-06-23,,,0.0019152010409379144
2015-06-24,,,-0.0008034597644073079
2015-06-25,,,0.0038059832023019362
2015-06-26,,,0.0016604764729028837
2015-06-29,,,0.0004997881439066317
2015-06-30,,,0.0011984461341101695
2015-07-01,,,0.0004841404760644517
2015-07-02,,,-0.002260934629300446
2015-07-06,,,0.0018821821781388726
2015-07-07,,,-0.0009531307220087272
2015-07-08,0.00020622471904394154,0.0006269761842849722,0.00020622471904394154
2015-07-09,0.002939053026747984,0.002750407350739741,0.002939053026747984
2015-07-10,0.002726276288821313,0.00250958657865008,0.002726276288821313
2015-07-13,-0.0005439131843875718,-0.0005791568024259687,-0.0005439131843875718
2015-07-14,0.0009538242362600944,0.0009074190445679416,0.0009538242362600944
2015-07-15,0.0005596492958223183,4.9396575820178797e-05,0.0005596492958223183
2015-07-16,0.0070445663031092655,0.006409184219736607,0.0070445663031092655
2015-07-17,0.0014511854962943396,0.0012343235060876016,0.0014511854962943396
2015-07-20,0.0012799494129155725,0.0012560644393175564,0.0012799494129155725
